model,analysis,n,acc,acc_lo,acc_hi,auc,auc_lo,auc_hi,mcc,sens,spec,scaling
hand-crafted (60-d),within,45,0.9777777777777777,0.9333333333333333,1.0,0.9920634920634921,0.9683763096806575,1.0,0.9564375187500369,0.9583333333333334,1.0,
wav2vec2 layer 6,within,45,0.9777777777777777,0.9333333333333333,1.0,0.9841269841269842,0.9440000000000001,1.0,0.9564375187500369,0.9583333333333334,1.0,
"wav2vec2 layer 6, 16 kHz speakers only",within_16k,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"hand-crafted, 16 kHz speakers only",within_16k,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
MDVR-KCL -> Italian,cross,45,0.7111111111111111,0.5777777777777777,0.8444444444444444,0.8392857142857143,0.7023609542631283,0.9444444444444444,0.4297698298497828,0.875,0.5238095238095238,source statistics
MDVR-KCL -> Italian,cross,45,0.7777777777777778,0.6444444444444445,0.8888888888888888,0.8174603174603174,0.6745063608125088,0.9332099137931034,0.6017536462198765,0.625,0.9523809523809523,per-corpus statistics
Italian -> MDVR-KCL,cross,37,0.4594594594594595,0.2972972972972973,0.6216216216216216,0.8273809523809524,0.679985294117647,0.9588235294117647,0.14547859349066158,1.0,0.04761904761904767,source statistics
Italian -> MDVR-KCL,cross,37,0.4864864864864865,0.32432432432432434,0.6486486486486487,0.818452380952381,0.6725433375104427,0.9455357142857141,0.12820564851709268,0.9375,0.1428571428571429,per-corpus statistics
