model,acc,auc,mcc,sens,spec,hy2,hy34,SIS,task,norm,acc_ci,auc_ci
wav2vec2 L6 | norm=none,0.8918918918918919,0.9345238095238095,0.7937253933193772,0.75,1.0,0.5,1.0,0.9183673469387755,ReadText,none,"[0.78,0.97]","[0.84,1.00]"
wav2vec2 L6 | norm=per_segment,0.8918918918918919,0.9315476190476191,0.7937253933193772,0.75,1.0,0.5,1.0,0.9183673469387755,ReadText,per_segment,"[0.78,0.97]","[0.84,1.00]"
wav2vec2 L6 | norm=per_speaker,0.43243243243243246,0.5,0.0,1.0,0.0,1.0,1.0,1.0,ReadText,per_speaker,"[0.27,0.59]","[0.50,0.50]"
wav2vec2 L6 | norm=none,0.8611111111111112,0.8698412698412699,0.7171371656006362,0.7333333333333333,0.9523809523809523,0.5,1.0,0.9523809523809524,SpontaneousDialogue,none,"[0.75,0.97]","[0.71,0.99]"
wav2vec2 L6 | norm=per_segment,0.8611111111111112,0.8698412698412699,0.7171371656006362,0.7333333333333333,0.9523809523809523,0.5,1.0,0.9523809523809524,SpontaneousDialogue,per_segment,"[0.75,0.97]","[0.72,0.99]"
wav2vec2 L6 | norm=per_speaker,0.4166666666666667,0.5,0.0,1.0,0.0,1.0,1.0,1.0,SpontaneousDialogue,per_speaker,"[0.25,0.58]","[0.50,0.50]"
