task,variable,HC_mean,PD_mean,t,p_ttest,p_mannwhitney,auc,direction
ReadText,duration_s,149.77133333333333,127.2535625,2.3155666590009854,0.027910987160011655,0.041481145817655336,0.6994047619047619,PD lower
ReadText,dbfs,-39.040712266663455,-36.30183675214795,-2.037218908705676,0.05094682950604398,0.035728644278742644,0.7053571428571428,PD higher
ReadText,max_dbfs,-12.77845035736829,-12.934686109117047,0.09168501330725592,0.9276157215145264,0.9145514728939473,0.5119047619047619,PD lower
ReadText,rms,26308902.57142857,36951119.8125,-1.9303838763518388,0.06433347517386094,0.035728644278742644,0.7053571428571428,PD higher
SpontaneousDialogue,duration_s,138.44266666666667,148.66266666666667,-0.930890103197802,0.35904480336420386,0.48023619242997784,0.5714285714285714,PD higher
SpontaneousDialogue,dbfs,-39.3256406150325,-36.485331897542125,-2.0725762380752824,0.04793752989664909,0.040015062306800325,0.7047619047619047,PD higher
SpontaneousDialogue,max_dbfs,-10.037726098799059,-10.76688605619072,0.4553303165985497,0.6519541741961167,0.6076727010476666,0.5523809523809523,PD lower
SpontaneousDialogue,rms,25429988.95238095,35994310.06666667,-1.98826848680773,0.058284244248042544,0.040015062306800325,0.7047619047619047,PD higher
