task,model,sex,n,acc,acc_lo,acc_hi,auc,mcc,sens,spec
ReadText,hand-crafted (60-d),F,50,0.84,0.74,0.94,0.8400000000000001,0.6821865008193587,0.88,0.8
ReadText,hand-crafted (60-d),M,50,0.74,0.62,0.86,0.8655999999999999,0.48349377841522817,0.68,0.8
ReadText,wav2vec2 layer 6,F,50,0.88,0.78,0.96,0.872,0.76,0.88,0.88
ReadText,wav2vec2 layer 6,M,50,0.8,0.68,0.9,0.84,0.6180642325727469,0.68,0.92
Monologue,hand-crafted (60-d),F,50,0.74,0.62,0.86,0.7856,0.48989794855663565,0.64,0.84
Monologue,hand-crafted (60-d),M,50,0.72,0.58,0.84,0.8448,0.44,0.72,0.72
Monologue,wav2vec2 layer 6,F,50,0.84,0.72,0.94,0.9248000000000001,0.6888747637021416,0.76,0.92
Monologue,wav2vec2 layer 6,M,50,0.8,0.68,0.9,0.8896,0.601929265428846,0.76,0.84
